entry_time,exit_time,side,entry_price,exit_price,reason,pnl_points,pnl_brl,equity_brl
2026-07-30 16:20:00,2026-07-30 17:05:00,long,181320,181696.86696040892,target,366.86696040892275,72.17339208178456,1754.2951206165665
2026-07-30 17:05:00,2026-07-30 18:10:00,long,181785,181572.01772068013,stop,-222.98227931986912,-45.79645586397383,1708.4986647525927
2026-08-04 09:15:00,2026-08-04 10:00:00,long,184300,185257.74467253953,target,947.7446725395275,188.34893450790554,1896.8475992604983
2026-08-05 09:50:00,2026-08-05 10:00:00,long,183455,183083.92942162487,stop,-381.07057837513275,-77.41411567502655,1819.4334835854718
2026-08-05 12:45:00,2026-08-05 16:45:00,short,182560,181918.22720047334,target,631.7727995266614,125.15455990533228,1944.588043490804
2026-08-05 16:55:00,2026-08-05 17:05:00,short,181790,181964.15018634338,stop,-184.15018634338048,-38.030037268676104,1906.558006222128
2026-08-06 09:15:00,2026-08-06 10:10:00,short,180450,180948.76600172106,stop,-508.7660017210583,-102.95320034421167,1803.6048058779163
2026-08-06 13:45:00,2026-08-06 14:50:00,short,179945,180161.56847783527,stop,-226.56847783527337,-46.51369556705468,1757.0911103108617
2026-08-06 17:15:00,2026-08-07 09:00:00,short,179365,179541.82732178285,stop,-186.8273217828537,-38.56546435657074,1718.525645954291
2026-08-07 11:20:00,2026-08-07 12:05:00,short,177555,176659.04595382445,target,885.9540461755532,175.99080923511067,1894.5164551894015
2026-08-07 12:05:00,2026-08-07 12:20:00,short,176400,176781.99115829892,stop,-391.99115829891525,-79.59823165978305,1814.9182235296184
2026-08-10 11:00:00,2026-08-10 11:30:00,short,175275,175782.8407362899,stop,-517.840736289887,-104.7681472579774,1710.150076271641
2026-08-11 11:35:00,2026-08-11 12:10:00,short,173930,173096.52570072017,target,823.4742992798274,163.4948598559655,1873.6449361276063
2026-08-11 12:10:00,2026-08-11 13:00:00,short,173040,172236.3323003059,target,793.6676996941096,157.53353993882195,2031.1784760664282
2026-08-11 13:50:00,2026-08-11 14:10:00,short,172000,171508.95693540346,target,481.0430645965389,95.00861291930778,2126.187088985736
2026-08-11 14:10:00,2026-08-12 09:00:00,short,171500,171784.54410832535,stop,-294.5441083253536,-60.10882166507072,2066.0782673206654
2026-08-12 17:40:00,2026-08-13 09:00:00,short,170450,170657.31031866037,stop,-217.31031866036938,-44.66206373207388,2021.4162035885915
